date,max_temp,min_temp,avg_temp
2026-03-02,17.8,6.6,12.2
2026-03-03,18.5,7.4,12.95
2026-03-04,18.7,8.0,13.35
2026-03-05,19.1,7.8,13.450000000000001
2026-03-06,18.0,10.1,14.05
2026-03-07,18.4,9.9,14.149999999999999
2026-03-08,18.0,7.5,12.75
2026-03-09,17.6,8.5,13.05
